postcode,suburb,region,organisation ID,council name
3049,Attwood,Melbourne,HUME,Hume City
3049,Westmeadows,Melbourne,HUME,Hume City
3051,North Melbourne,Melbourne,MOON,Moonee Valley City
3051,North Melbourne,Melbourne,MELC,City of Melbourne - What&#039;s On
3052,Parkville,Melbourne,MELC,City of Melbourne - What&#039;s On
3052,Parkville,Melbourne,MORE,Moreland City
3053,Carlton,Melbourne,MELC,City of Melbourne - What&#039;s On
3054,Carlton North,Melbourne,MELC,City of Melbourne - What&#039;s On
3054,Carlton North,Melbourne,YARR,Yarra City
3054,Princes Hill,Melbourne,YARR,Yarra City
3055,Brunswick West,Melbourne,MORE,Moreland City
3056,Brunswick,Melbourne,MORE,Moreland City
3057,Brunswick East,Melbourne,MORE,Moreland City
3058,Coburg,Melbourne,MORE,Moreland City
3058,Coburg,Melbourne,DARE,Darebin City Council
3058,Coburg North,Melbourne,DARE,Darebin City Council
3058,Coburg North,Melbourne,MORE,Moreland City
3059,Greenvale,Melbourne,HUME,Hume City
3060,Fawkner,Melbourne,HUME,Hume City
3060,Fawkner,Melbourne,MORE,Moreland City
3061,Campbellfield,Melbourne,HUME,Hume City
3062,Somerton,Melbourne,HUME,Hume City
3063,Mickleham,Melbourne,HUME,Hume City
3063,Oaklands Junction,Melbourne,HUME,Hume City
3063,Yuroke,Melbourne,HUME,Hume City
3064,Craigieburn,Melbourne,HUME,Hume City
3064,Donnybrook,Melbourne,WHIT,Whittlesea City
3064,Kalkallo,Melbourne,HUME,Hume City
3064,Roxburgh Park,Melbourne,HUME,Hume City
3065,Fitzroy,Melbourne,YARR,Yarra City
3066,Collingwood,Melbourne,YARR,Yarra City
3067,Abbotsford,Melbourne,YARR,Yarra City
3068,Clifton Hill,Melbourne,YARR,Yarra City
3068,Fitzroy North,Melbourne,YARR,Yarra City
3068,Fitzroy North,Melbourne,MORE,Moreland City
3070,Northcote,Melbourne,DARE,Darebin City Council
3071,Thornbury,Melbourne,DARE,Darebin City Council
3072,Preston,Melbourne,DARE,Darebin City Council
3073,Kingsbury,Melbourne,DARE,Darebin City Council
3073,Reservoir,Melbourne,DARE,Darebin City Council
3074,Thomastown,Melbourne,WHIT,Whittlesea City
3075,Lalor,Melbourne,WHIT,Whittlesea City
3076,Epping,Melbourne,WHIT,Whittlesea City
3078,Alphington,Melbourne,YARR,Yarra City
3078,Alphington,Melbourne,DARE,Darebin City Council
3078,Fairfield,Melbourne,DARE,Darebin City Council
3078,Fairfield,Melbourne,YARR,Yarra City
3079,Ivanhoe,Melbourne,BANY,Banyule City
3079,Ivanhoe East,Melbourne,BANY,Banyule City
3081,Bellfield,Melbourne,BANY,Banyule City
3081,Bellfield,Melbourne,NGRA,Northern Grampians Shire
3081,Bellfield,Melbourne,SGRA,Southern Grampians Shire Council
3081,Heidelberg Heights,Melbourne,BANY,Banyule City
3081,Heidelberg West,Melbourne,BANY,Banyule City
3082,Mill Park,Melbourne,WHIT,Whittlesea City
3083,Bundoora,Melbourne,WHIT,Whittlesea City
3083,Bundoora,Melbourne,BANY,Banyule City
3083,Bundoora,Melbourne,DARE,Darebin City Council
3084,Eaglemont,Melbourne,BANY,Banyule City
3084,Heidelberg,Melbourne,BANY,Banyule City
3084,Rosanna,Melbourne,BANY,Banyule City
3084,Viewbank,Melbourne,BANY,Banyule City
3085,Macleod,Melbourne,BANY,Banyule City
3085,Macleod,Melbourne,DARE,Darebin City Council
3085,Yallambie,Melbourne,BANY,Banyule City
3087,Watsonia,Melbourne,BANY,Banyule City
3087,Watsonia North,Melbourne,BANY,Banyule City
3088,Briar Hill,Melbourne,BANY,Banyule City
3088,Greensborough,Melbourne,BANY,Banyule City
3088,Greensborough,Melbourne,NILL,Nillumbik Shire
3088,Saint helena,Melbourne,BANY,Banyule City
3089,Diamond Creek,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3090,Plenty,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3091,Yarrambat,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3093,Lower Plenty,Melbourne,BANY,Banyule City
3094,Montmorency,Melbourne,BANY,Banyule City
3095,Eltham,Yarra Valley &#038; Dandenong Ranges,BANY,Banyule City
3095,Eltham,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3095,Eltham North,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3095,Eltham North,Yarra Valley &#038; Dandenong Ranges,BANY,Banyule City
3095,Research,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3096,Wattle Glen,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3097,Bend Of Islands,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3097,Kangaroo Ground,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3097,Watsons Creek,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3099,Arthurs Creek,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3099,Cottles Bridge,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3099,Hurstbridge,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3099,Strathewen,Yarra Valley &#038; Dandenong Ranges,NILL,Nillumbik Shire
3101,Kew,Melbourne,BORO,City of Boroondara
3102,Kew East,Melbourne,BORO,City of Boroondara
3103,Balwyn,Melbourne,BORO,City of Boroondara
3104,Balwyn North,Melbourne,BORO,City of Boroondara
3104,Balwyn North,Melbourne,WHHO,Whitehorse City
3105,Bulleen,Melbourne,MANN,Manningham City Council
3106,Templestowe,Melbourne,MANN,Manningham City Council
3107,Templestowe lower,Melbourne,MANN,Manningham City Council
3108,Doncaster,Melbourne,MANN,Manningham City Council
3109,Doncaster East,Melbourne,MANN,Manningham City Council
3111,Donvale,Melbourne,MANN,Manningham City Council
3113,North Warrandyte,Melbourne,NILL,Nillumbik Shire
3113,Warrandyte,Melbourne,MANN,Manningham City Council
3114,Park Orchards,Melbourne,MANN,Manningham City Council
3114,Park Orchards,Melbourne,MARO,Maroondah City
3115,Wonga Park,Melbourne,MARO,Maroondah City
3115,Wonga Park,Melbourne,MANN,Manningham City Council
3115,Wonga Park,Melbourne,YRAN,Yarra Ranges Shire
3116,Chirnside Park,Yarra Valley &#038; Dandenong Ranges,YRAN,Yarra Ranges Shire
3121,Burnley,Melbourne,YARR,Yarra City
3121,Cremorne,Melbourne,YARR,Yarra City
3121,Richmond,Melbourne,YARR,Yarra City
3122,Hawthorn,Melbourne,BORO,City of Boroondara
3123,Hawthorn East,Melbourne,BORO,City of Boroondara
3124,Camberwell,Melbourne,BORO,City of Boroondara
3125,Burwood,Melbourne,MONA,Monash City
3125,Burwood,Melbourne,WHHO,Whitehorse City
3126,Canterbury,Melbourne,BORO,City of Boroondara
3127,Mont Albert,Melbourne,BORO,City of Boroondara
3127,Mont Albert,Melbourne,WHHO,Whitehorse City
3127,Surrey Hills,Melbourne,WHHO,Whitehorse City
3127,Surrey Hills,Melbourne,BORO,City of Boroondara
3128,Box Hill,Melbourne,WHHO,Whitehorse City
3128,Box Hill South,Melbourne,WHHO,Whitehorse City
3129,Box Hill North,Melbourne,WHHO,Whitehorse City
3129,Mont Albert North,Melbourne,WHHO,Whitehorse City
3130,Blackburn,Melbourne,WHHO,Whitehorse City
